tol,term,estimate,ci_low,ci_high,p_value,R2,n_used,n_missing,dof
0.001,Intercept,1.915885911586197,-3.6132372404054163,7.44500906357781,0.4648234022427713,0.21626476621651702,15,5,12
0.001,coils,0.226952067861227,-0.41519988905585503,0.8691040247783091,0.4561653474935412,0.21626476621651702,15,5,12
0.001,log_lambda,0.1770059168813711,-0.12178800014918775,0.4757998339119299,0.22111062482599153,0.21626476621651702,15,5,12
0.01,Intercept,1.2040054620594045,-2.516004703100124,4.9240156272189335,0.49673681328788,0.3816105641415215,16,4,13
0.01,coils,0.42244640178841886,-0.02868062551323325,0.873573429090071,0.0641365315627418,0.3816105641415215,16,4,13
0.01,log_lambda,0.14819869916174422,-0.05733967791955591,0.35373707624304435,0.1433111062917276,0.3816105641415215,16,4,13
0.1,Intercept,2.249897531360179,-0.7992914767859092,5.299086539506266,0.13794634062884858,0.22062201715920304,20,0,17
0.1,coils,0.18456208506956284,-0.14500775648191616,0.5141319266210418,0.2536631047587239,0.22062201715920304,20,0,17
0.1,log_lambda,0.15860775723140239,-0.02243942327445586,0.33965493773726063,0.08202815882801939,0.22062201715920304,20,0,17
