Configuration,Bayesian Final Cost,Multi-start Final Cost,Cost Ratio,Bayesian Evals,Multi-start Evals,Speedup
"2 coils, λ=1e-08",2.862e-03,2.862e-03,1.00,220,551,2.5×
"2 coils, λ=1e-07",2.925e-03,2.925e-03,1.00,244,171,0.7×
"2 coils, λ=1e-06",5.956e-03,5.956e-03,1.00,239,116,0.5×
"2 coils, λ=1e-05",3.256e-02,3.256e-02,1.00,79,266,3.4×
"3 coils, λ=1e-08",4.439e-05,4.439e-05,1.00,692,645,0.9×
"3 coils, λ=1e-07",9.104e-05,9.104e-05,1.00,469,645,1.4×
"3 coils, λ=1e-06",2.785e-03,2.785e-03,1.00,259,449,1.7×
"3 coils, λ=1e-05",2.883e-02,2.883e-02,1.00,196,624,3.2×
"4 coils, λ=1e-08",8.149e-06,8.146e-06,1.00,2722,523,0.2×
"4 coils, λ=1e-07",5.336e-05,5.336e-05,1.00,381,388,1.0×
"4 coils, λ=1e-06",1.556e-03,1.556e-03,1.00,844,793,0.9×
"4 coils, λ=1e-05",2.694e-02,2.694e-02,1.00,219,1027,4.7×
"5 coils, λ=1e-08",5.569e-06,5.605e-06,1.01,12692,37632,3.0×
"5 coils, λ=1e-07",3.809e-05,3.998e-05,1.05,3960,32693,8.3×
"5 coils, λ=1e-06",1.252e-03,1.252e-03,1.00,629,3103,4.9×
"5 coils, λ=1e-05",2.395e-02,2.395e-02,1.00,464,6249,13.5×
"6 coils, λ=1e-07",3.310e-05,3.072e-05,0.93,1429,4239,3.0×
"6 coils, λ=1e-06",1.160e-03,1.101e-03,0.95,14842,5890,0.4×
"6 coils, λ=1e-05",2.215e-02,2.215e-02,1.00,261,963,3.7×
"6 coils, λ=1e-08",4.925e-06,4.854e-06,0.99,8365,14535,1.7×
